date;region;infected;recovered;death;deathDaily;infectedDaily;recoveredDaily
12.03.2020;Адыгея;0;0;0;0;0;0
12.03.2020;Алтайский край;0;0;0;0;0;0
12.03.2020;Амурская обл.;0;0;0;0;0;0
12.03.2020;Архангельская обл.;0;0;0;0;0;0
12.03.2020;Астраханская обл.;0;0;0;0;0;0
12.03.2020;Башкортостан;0;0;0;0;0;0
12.03.2020;Белгородская обл.;1;0;0;0;1;0
12.03.2020;Брянская обл.;0;0;0;0;0;0
12.03.2020;Бурятия;0;0;0;0;0;0
12.03.2020;Владимирская обл.;0;0;0;0;0;0
12.03.2020;Волгоградская обл.;0;0;0;0;0;0
12.03.2020;Вологодская обл.;0;0;0;0;0;0
12.03.2020;Воронежская обл.;0;0;0;0;0;0
12.03.2020;Дагестан;0;0;0;0;0;0
12.03.2020;Еврейская АО;0;0;0;0;0;0
12.03.2020;Забайкальский край;0;0;0;0;0;0
12.03.2020;Ивановская обл.;0;0;0;0;0;0
12.03.2020;Ингушетия;0;0;0;0;0;0
12.03.2020;Иркутская обл.;0;0;0;0;0;0
12.03.2020;Кабардино-Балкария;0;0;0;0;0;0
12.03.2020;Калининградская обл.;2;0;0;0;2;0
12.03.2020;Калмыкия;0;0;0;0;0;0
12.03.2020;Калужская обл.;0;0;0;0;0;0
12.03.2020;Камчатский край;0;0;0;0;0;0
12.03.2020;Карачаево-Черкессия;0;0;0;0;0;0
12.03.2020;Карелия;0;0;0;0;0;0
12.03.2020;Кемеровская обл.;0;0;0;0;0;0
12.03.2020;Кировская обл.;0;0;0;0;0;0
12.03.2020;Коми;0;0;0;0;0;0
12.03.2020;Костромская обл.;0;0;0;0;0;0
12.03.2020;Краснодарский край;1;0;0;0;1;0
12.03.2020;Красноярский край;0;0;0;0;0;0
12.03.2020;Крым;0;0;0;0;0;0
12.03.2020;Курганская обл.;0;0;0;0;0;0
12.03.2020;Курская обл.;0;0;0;0;0;0
12.03.2020;Ленинградская обл.;0;0;0;0;0;0
12.03.2020;Липецкая обл.;3;0;0;0;3;0
12.03.2020;Магаданская обл.;0;0;0;0;0;0
12.03.2020;Марий Эл;0;0;0;0;0;0
12.03.2020;Мордовия;0;0;0;0;0;0
12.03.2020;Москва;21;0;0;0;21;0
12.03.2020;Московская обл.;4;0;0;0;4;0
12.03.2020;Мурманская обл.;0;0;0;0;0;0
12.03.2020;Нижегородская обл.;1;0;0;0;1;0
12.03.2020;Новгородская обл.;0;0;0;0;0;0
12.03.2020;Новосибирская обл.;0;0;0;0;0;0
12.03.2020;Омская обл.;0;0;0;0;0;0
12.03.2020;Оренбургская обл.;0;0;0;0;0;0
12.03.2020;Орловская обл.;0;0;0;0;0;0
12.03.2020;Пензенская обл.;0;0;0;0;0;0
12.03.2020;Пермский край;0;0;0;0;0;0
12.03.2020;Приморский край;0;0;0;0;0;0
12.03.2020;Псковская обл.;0;0;0;0;0;0
12.03.2020;Ростовская обл.;0;0;0;0;0;0
12.03.2020;Рязанская обл.;0;0;0;0;0;0
12.03.2020;Самарская обл.;0;0;0;0;0;0
12.03.2020;Санкт-Петербург;1;0;0;0;1;0
12.03.2020;Саратовская обл.;0;0;0;0;0;0
12.03.2020;Саха (Якутия);0;0;0;0;0;0
12.03.2020;Сахалинская обл.;0;0;0;0;0;0
12.03.2020;Свердловская обл.;0;0;0;0;0;0
12.03.2020;Севастополь;0;0;0;0;0;0
12.03.2020;Северная Осетия;0;0;0;0;0;0
12.03.2020;Смоленская обл.;0;0;0;0;0;0
12.03.2020;Ставропольский край;0;0;0;0;0;0
12.03.2020;Тамбовская обл.;0;0;0;0;0;0
12.03.2020;Татарстан;0;0;0;0;0;0
12.03.2020;Тверская обл.;0;0;0;0;0;0
12.03.2020;Томская обл.;0;0;0;0;0;0
12.03.2020;Тульская обл.;0;0;0;0;0;0
12.03.2020;Тыва;0;0;0;0;0;0
12.03.2020;Тюменская обл.;0;0;0;0;0;0
12.03.2020;Удмуртия;0;0;0;0;0;0
12.03.2020;Ульяновская обл.;0;0;0;0;0;0
12.03.2020;Хабаровский край;0;0;0;0;0;0
12.03.2020;Хакасия;0;0;0;0;0;0
12.03.2020;ХМАО – Югра;0;0;0;0;0;0
12.03.2020;Челябинская обл.;0;0;0;0;0;0
12.03.2020;Чечня;0;0;0;0;0;0
12.03.2020;Чувашия;0;0;0;0;0;0
12.03.2020;Ямало-Ненецкий АО;0;0;0;0;0;0
12.03.2020;Ярославская обл.;0;0;0;0;0;0
13.03.2020;Адыгея;0;0;0;0;0;0
13.03.2020;Алтайский край;0;0;0;0;0;0
13.03.2020;Амурская обл.;0;0;0;0;0;0
13.03.2020;Архангельская обл.;0;0;0;0;0;0
13.03.2020;Астраханская обл.;0;0;0;0;0;0
13.03.2020;Башкортостан;0;0;0;0;0;0
13.03.2020;Белгородская обл.;1;0;0;0;0;0
13.03.2020;Брянская обл.;0;0;0;0;0;0
13.03.2020;Бурятия;0;0;0;0;0;0
13.03.2020;Владимирская обл.;0;0;0;0;0;0
13.03.2020;Волгоградская обл.;0;0;0;0;0;0
13.03.2020;Вологодская обл.;0;0;0;0;0;0
13.03.2020;Воронежская обл.;0;0;0;0;0;0
13.03.2020;Дагестан;0;0;0;0;0;0
13.03.2020;Еврейская АО;0;0;0;0;0;0
13.03.2020;Забайкальский край;0;0;0;0;0;0
13.03.2020;Ивановская обл.;0;0;0;0;0;0
13.03.2020;Ингушетия;0;0;0;0;0;0
13.03.2020;Иркутская обл.;0;0;0;0;0;0
13.03.2020;Кабардино-Балкария;0;0;0;0;0;0
13.03.2020;Калининградская обл.;2;0;0;0;0;0
13.03.2020;Калмыкия;0;0;0;0;0;0
13.03.2020;Калужская обл.;0;0;0;0;0;0
13.03.2020;Камчатский край;0;0;0;0;0;0
13.03.2020;Карачаево-Черкессия;0;0;0;0;0;0
13.03.2020;Карелия;0;0;0;0;0;0
13.03.2020;Кемеровская обл.;0;0;0;0;0;0
13.03.2020;Кировская обл.;0;0;0;0;0;0
13.03.2020;Коми;0;0;0;0;0;0
13.03.2020;Костромская обл.;0;0;0;0;0;0
13.03.2020;Краснодарский край;1;0;0;0;0;0
13.03.2020;Красноярский край;0;0;0;0;0;0
13.03.2020;Крым;0;0;0;0;0;0
13.03.2020;Курганская обл.;0;0;0;0;0;0
13.03.2020;Курская обл.;0;0;0;0;0;0
13.03.2020;Ленинградская обл.;1;0;0;0;1;0
13.03.2020;Липецкая обл.;3;0;0;0;0;0
13.03.2020;Магаданская обл.;0;0;0;0;0;0
13.03.2020;Марий Эл;0;0;0;0;0;0
13.03.2020;Мордовия;0;0;0;0;0;0
13.03.2020;Москва;26;0;0;0;5;0
13.03.2020;Московская обл.;5;0;0;0;1;0
13.03.2020;Мурманская обл.;0;0;0;0;0;0
13.03.2020;Нижегородская обл.;1;0;0;0;0;0
13.03.2020;Новгородская обл.;0;0;0;0;0;0
13.03.2020;Новосибирская обл.;0;0;0;0;0;0
13.03.2020;Омская обл.;0;0;0;0;0;0
13.03.2020;Оренбургская обл.;0;0;0;0;0;0
13.03.2020;Орловская обл.;0;0;0;0;0;0
13.03.2020;Пензенская обл.;0;0;0;0;0;0
13.03.2020;Пермский край;1;0;0;0;1;0
13.03.2020;Приморский край;0;0;0;0;0;0
13.03.2020;Псковская обл.;0;0;0;0;0;0
13.03.2020;Ростовская обл.;0;0;0;0;0;0
13.03.2020;Рязанская обл.;0;0;0;0;0;0
13.03.2020;Самарская обл.;0;0;0;0;0;0
